"Notes","Cancer Sites","Cancer Sites Code","Year","Year Code","Sex","Sex Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Male Genital System","28010-28040","2003","2003","Male","M",213926,142428897,164.6,163.9,165.3,150.2,149.6,150.8
,"Male Genital System","28010-28040","2004","2004","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2004","2004","Male","M",213656,143828012,160.5,159.8,161.2,148.5,147.9,149.2
,"Male Genital System","28010-28040","2005","2005","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2005","2005","Male","M",215978,145099195,158.4,157.7,159.1,148.8,148.2,149.5
,"Male Genital System","28010-28040","2006","2006","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2006","2006","Male","M",235113,146647265,167.8,167.1,168.5,160.3,159.7,161.0
,"Male Genital System","28010-28040","2007","2007","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2007","2007","Male","M",249999,148064854,172.8,172.1,173.5,168.8,168.2,169.5
,"Male Genital System","28010-28040","2008","2008","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2008","2008","Male","M",239838,149489951,160.5,159.9,161.2,160.4,159.8,161.1
,"Male Genital System","28010-28040","2009","2009","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2009","2009","Male","M",235548,150807454,152.3,151.7,152.9,156.2,155.6,156.8
,"Male Genital System","28010-28040","2010","2010","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2010","2010","Male","M",228565,152125599,143.8,143.2,144.4,150.2,149.6,150.9
,"Male Genital System","28010-28040","2011","2011","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2011","2011","Male","M",234382,153455676,143.3,142.7,143.9,152.7,152.1,153.4
,"Male Genital System","28010-28040","2012","2012","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2012","2012","Male","M",202874,154834274,120.2,119.6,120.7,131.0,130.5,131.6
,"Male Genital System","28010-28040","2013","2013","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2013","2013","Male","M",201524,156146649,116.4,115.8,116.9,129.1,128.5,129.6
,"Male Genital System","28010-28040","2014","2014","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2014","2014","Male","M",196092,157523496,110.2,109.7,110.7,124.5,123.9,125.0
,"Male Genital System","28010-28040","2015","2015","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2015","2015","Male","M",208778,158933091,114.2,113.7,114.7,131.4,130.8,131.9
,"Male Genital System","28010-28040","2016","2016","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2016","2016","Male","M",217416,160310087,116.1,115.6,116.6,135.6,135.1,136.2
,"Male Genital System","28010-28040","2017","2017","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2017","2017","Male","M",233118,161530177,121.1,120.6,121.6,144.3,143.7,144.9
,"Male Genital System","28010-28040","2018","2018","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2018","2018","Male","M",242857,162577729,123.5,123.0,124.0,149.4,148.8,150.0
,"Male Genital System","28010-28040","2019","2019","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2019","2019","Male","M",256716,163511718,127.7,127.2,128.2,157.0,156.4,157.6
,"Male Genital System","28010-28040","2020","2020","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2020","2020","Male","M",229925,164218174,112.5,112.0,113.0,140.0,139.4,140.6
,"Male Genital System","28010-28040","2021","2021","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2021","2021","Male","M",263260,164418227,126.6,126.1,127.1,160.1,159.5,160.7
,"Male Genital System","28010-28040","2022","2022","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Male Genital System","28010-28040","2022","2022","Male","M",266488,164963406,125.9,125.4,126.4,161.5,160.9,162.2
,"Prostate","28010","1999","1999","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","1999","1999","Male","M",198779,135067134,169.2,168.4,170.0,147.2,146.5,147.8
,"Prostate","28010","2000","2000","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2000","2000","Male","M",205604,136692444,171.9,171.1,172.6,150.4,149.8,151.1
,"Prostate","28010","2001","2001","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2001","2001","Male","M",213033,138511984,174.2,173.5,175.0,153.8,153.1,154.5
,"Prostate","28010","2002","2002","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2002","2002","Male","M",215775,139847290,172.2,171.4,172.9,154.3,153.6,154.9
,"Prostate","28010","2003","2003","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2003","2003","Male","M",204714,142428897,158.1,157.4,158.8,143.7,143.1,144.4
,"Prostate","28010","2004","2004","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2004","2004","Male","M",204369,143828012,154.0,153.3,154.6,142.1,141.5,142.7
,"Prostate","28010","2005","2005","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2005","2005","Male","M",206418,145099195,151.7,151.1,152.4,142.3,141.6,142.9
,"Prostate","28010","2006","2006","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2006","2006","Male","M",225769,146647265,161.3,160.6,162.0,154.0,153.3,154.6
,"Prostate","28010","2007","2007","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2007","2007","Male","M",240385,148064854,166.2,165.5,166.9,162.4,161.7,163.0
,"Prostate","28010","2008","2008","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2008","2008","Male","M",229853,149489951,153.7,153.0,154.3,153.8,153.1,154.4
,"Prostate","28010","2009","2009","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2009","2009","Male","M",225795,150807454,145.7,145.1,146.3,149.7,149.1,150.3
,"Prostate","28010","2010","2010","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2010","2010","Male","M",218612,152125599,137.1,136.5,137.7,143.7,143.1,144.3
,"Prostate","28010","2011","2011","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2011","2011","Male","M",224448,153455676,136.7,136.1,137.2,146.3,145.7,146.9
,"Prostate","28010","2012","2012","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2012","2012","Male","M",192724,154834274,113.5,113.0,114.0,124.5,123.9,125.0
,"Prostate","28010","2013","2013","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2013","2013","Male","M",191114,156146649,109.6,109.1,110.1,122.4,121.8,122.9
,"Prostate","28010","2014","2014","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2014","2014","Male","M",185302,157523496,103.2,102.8,103.7,117.6,117.1,118.2
,"Prostate","28010","2015","2015","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2015","2015","Male","M",198138,158933091,107.4,106.9,107.9,124.7,124.1,125.2
,"Prostate","28010","2016","2016","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2016","2016","Male","M",206270,160310087,109.0,108.6,109.5,128.7,128.1,129.2
,"Prostate","28010","2017","2017","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2017","2017","Male","M",222115,161530177,114.2,113.7,114.7,137.5,136.9,138.1
,"Prostate","28010","2018","2018","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2018","2018","Male","M",231590,162577729,116.5,116.0,117.0,142.4,141.9,143.0
,"Prostate","28010","2019","2019","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2019","2019","Male","M",245459,163511718,120.7,120.2,121.2,150.1,149.5,150.7
,"Prostate","28010","2020","2020","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2020","2020","Male","M",218866,164218174,105.7,105.2,106.1,133.3,132.7,133.8
,"Prostate","28010","2021","2021","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2021","2021","Male","M",251857,164418227,119.6,119.1,120.1,153.2,152.6,153.8
,"Prostate","28010","2022","2022","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Prostate","28010","2022","2022","Male","M",255395,164963406,119.1,118.7,119.6,154.8,154.2,155.4
,"Testis","28020","1999","1999","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","1999","1999","Male","M",7364,135067134,5.3,5.2,5.4,5.5,5.3,5.6
,"Testis","28020","2000","2000","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2000","2000","Male","M",7496,136692444,5.3,5.2,5.5,5.5,5.4,5.6
,"Testis","28020","2001","2001","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2001","2001","Male","M",7584,138511984,5.4,5.2,5.5,5.5,5.4,5.6
,"Testis","28020","2002","2002","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2002","2002","Male","M",7413,139847290,5.2,5.1,5.3,5.3,5.2,5.4
,"Testis","28020","2003","2003","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2003","2003","Male","M",7770,142428897,5.4,5.3,5.5,5.5,5.3,5.6
,"Testis","28020","2004","2004","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2004","2004","Male","M",7920,143828012,5.5,5.4,5.6,5.5,5.4,5.6
,"Testis","28020","2005","2005","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2005","2005","Male","M",8152,145099195,5.6,5.5,5.7,5.6,5.5,5.7
,"Testis","28020","2006","2006","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2006","2006","Male","M",7905,146647265,5.4,5.3,5.5,5.4,5.3,5.5
,"Testis","28020","2007","2007","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2007","2007","Male","M",8091,148064854,5.5,5.4,5.6,5.5,5.3,5.6
,"Testis","28020","2008","2008","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2008","2008","Male","M",8288,149489951,5.6,5.5,5.7,5.5,5.4,5.7
,"Testis","28020","2009","2009","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2009","2009","Male","M",8214,150807454,5.5,5.4,5.7,5.4,5.3,5.6
,"Testis","28020","2010","2010","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2010","2010","Male","M",8341,152125599,5.6,5.5,5.7,5.5,5.4,5.6
,"Testis","28020","2011","2011","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2011","2011","Male","M",8215,153455676,5.5,5.3,5.6,5.4,5.2,5.5
,"Testis","28020","2012","2012","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2012","2012","Male","M",8451,154834274,5.6,5.5,5.7,5.5,5.3,5.6
,"Testis","28020","2013","2013","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2013","2013","Male","M",8614,156146649,5.6,5.5,5.8,5.5,5.4,5.6
,"Testis","28020","2014","2014","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2014","2014","Male","M",8878,157523496,5.8,5.7,5.9,5.6,5.5,5.8
,"Testis","28020","2015","2015","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2015","2015","Male","M",8831,158933091,5.7,5.6,5.8,5.6,5.4,5.7
,"Testis","28020","2016","2016","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2016","2016","Male","M",9174,160310087,5.9,5.7,6.0,5.7,5.6,5.8
,"Testis","28020","2017","2017","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2017","2017","Male","M",9053,161530177,5.7,5.6,5.9,5.6,5.5,5.7
,"Testis","28020","2018","2018","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2018","2018","Male","M",9297,162577729,5.9,5.8,6.0,5.7,5.6,5.8
,"Testis","28020","2019","2019","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2019","2019","Male","M",9225,163511718,5.8,5.7,5.9,5.6,5.5,5.8
,"Testis","28020","2020","2020","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2020","2020","Male","M",9161,164218174,5.8,5.6,5.9,5.6,5.5,5.7
,"Testis","28020","2021","2021","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2021","2021","Male","M",9432,164418227,5.9,5.8,6.0,5.7,5.6,5.9
,"Testis","28020","2022","2022","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Testis","28020","2022","2022","Male","M",9094,164963406,5.7,5.6,5.8,5.5,5.4,5.6
,"Penis","28030","1999","1999","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","1999","1999","Male","M",1083,135067134,0.9,0.9,1.0,0.8,0.8,0.9
,"Penis","28030","2000","2000","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2000","2000","Male","M",1080,136692444,0.9,0.9,1.0,0.8,0.7,0.8
,"Penis","28030","2001","2001","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2001","2001","Male","M",1065,138511984,0.9,0.8,0.9,0.8,0.7,0.8
,"Penis","28030","2002","2002","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2002","2002","Male","M",1101,139847290,0.9,0.8,1.0,0.8,0.7,0.8
,"Penis","28030","2003","2003","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2003","2003","Male","M",1140,142428897,0.9,0.8,1.0,0.8,0.8,0.8
,"Penis","28030","2004","2004","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2004","2004","Male","M",1078,143828012,0.8,0.8,0.9,0.7,0.7,0.8
,"Penis","28030","2005","2005","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2005","2005","Male","M",1090,145099195,0.8,0.8,0.9,0.8,0.7,0.8
,"Penis","28030","2006","2006","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2006","2006","Male","M",1114,146647265,0.8,0.8,0.9,0.8,0.7,0.8
,"Penis","28030","2007","2007","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2007","2007","Male","M",1216,148064854,0.9,0.8,0.9,0.8,0.8,0.9
,"Penis","28030","2008","2008","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2008","2008","Male","M",1330,149489951,0.9,0.9,1.0,0.9,0.8,0.9
,"Penis","28030","2009","2009","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2009","2009","Male","M",1204,150807454,0.8,0.8,0.9,0.8,0.8,0.8
,"Penis","28030","2010","2010","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2010","2010","Male","M",1267,152125599,0.9,0.8,0.9,0.8,0.8,0.9
,"Penis","28030","2011","2011","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2011","2011","Male","M",1348,153455676,0.9,0.8,0.9,0.9,0.8,0.9
,"Penis","28030","2012","2012","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2012","2012","Male","M",1330,154834274,0.9,0.8,0.9,0.9,0.8,0.9
,"Penis","28030","2013","2013","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2013","2013","Male","M",1394,156146649,0.9,0.8,0.9,0.9,0.8,0.9
,"Penis","28030","2014","2014","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2014","2014","Male","M",1531,157523496,1.0,0.9,1.0,1.0,0.9,1.0
,"Penis","28030","2015","2015","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2015","2015","Male","M",1417,158933091,0.9,0.8,0.9,0.9,0.8,0.9
,"Penis","28030","2016","2016","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2016","2016","Male","M",1551,160310087,0.9,0.9,1.0,1.0,0.9,1.0
,"Penis","28030","2017","2017","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2017","2017","Male","M",1546,161530177,0.9,0.9,1.0,1.0,0.9,1.0
,"Penis","28030","2018","2018","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2018","2018","Male","M",1555,162577729,0.9,0.8,0.9,1.0,0.9,1.0
,"Penis","28030","2019","2019","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2019","2019","Male","M",1598,163511718,0.9,0.9,1.0,1.0,0.9,1.0
,"Penis","28030","2020","2020","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2020","2020","Male","M",1489,164218174,0.8,0.8,0.9,0.9,0.9,1.0
,"Penis","28030","2021","2021","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2021","2021","Male","M",1563,164418227,0.8,0.8,0.9,1.0,0.9,1.0
,"Penis","28030","2022","2022","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Penis","28030","2022","2022","Male","M",1545,164963406,0.8,0.8,0.9,0.9,0.9,1.0
,"Other Male Genital Organs","28040","1999","1999","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","1999","1999","Male","M",280,135067134,0.2,0.2,0.3,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2000","2000","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2000","2000","Male","M",291,136692444,0.2,0.2,0.3,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2001","2001","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2001","2001","Male","M",288,138511984,0.2,0.2,0.3,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2002","2002","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2002","2002","Male","M",273,139847290,0.2,0.2,0.2,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2003","2003","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2003","2003","Male","M",302,142428897,0.2,0.2,0.3,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2004","2004","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2004","2004","Male","M",289,143828012,0.2,0.2,0.2,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2005","2005","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2005","2005","Male","M",318,145099195,0.2,0.2,0.3,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2006","2006","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2006","2006","Male","M",325,146647265,0.2,0.2,0.3,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2007","2007","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2007","2007","Male","M",307,148064854,0.2,0.2,0.2,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2008","2008","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2008","2008","Male","M",367,149489951,0.3,0.2,0.3,0.2,0.2,0.3
,"Other Male Genital Organs","28040","2009","2009","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2009","2009","Male","M",335,150807454,0.2,0.2,0.3,0.2,0.2,0.2
,"Other Male Genital Organs","28040","2010","2010","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2010","2010","Male","M",345,152125599,0.2,0.2,0.3,0.2,0.2,0.3
,"Other Male Genital Organs","28040","2011","2011","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other Male Genital Organs","28040","2011","2011","Male","M",371,153455676,0.2,0.2,0.3,0.2,0.2,0.3
,"Other Male Genital Organs","28040","2012","2012","Female","F",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
